,time,com_x,com_y,velocity
0,2,1.2,0.8,0.7211102550927979
1,3,1.4,1.2,0.6146362971528591
2,4,1.8,1.2,0.5408326913195983
3,5,2.2,1.4,0.5215361924162119
4,6,2.2,1.8,0.4737556801183966
5,7,2.4,2.2,0.4651091598885631
6,8,2.8,2.2,0.44511234536912136
7,9,3.2,2.4,0.4444444444444444
8,10,3.2,2.8,0.42520583250938604
9,11,3.4,3.2,0.42445881927013646
10,12,3.8,3.2,0.41399141161247405
11,13,4.2,3.4,0.4156694180340399
12,14,4.2,3.8,0.4045657788144656
13,15,4.4,4.2,0.4055175020198813
14,16,4.8,4.2,0.39863046797754936
15,17,5.2,4.4,0.4006914439041506
16,18,5.2,4.8,0.39315124473231405
17,19,5.4,5.2,0.3945613645050803
18,20,5.8,5.2,0.38948684188300897
19,21,6.2,5.4,0.3915200912589422
20,22,6.2,5.8,0.38590882321438413
21,23,6.4,6.2,0.38742033756426897
22,24,6.8,6.2,0.3834239023442447
23,25,7.2,6.4,0.3853310265213535
24,26,7.2,6.8,0.3809051816350753
25,27,7.4,7.2,0.38239731849304615
26,28,7.8,7.2,0.3791101288490171
27,29,8.2,7.4,0.38087451783404347
28,30,8.2,7.8,0.3772414493545362
29,31,8.4,8.2,0.37867175718268875
30,32,8.8,8.2,0.37588437384387235
31,33,9.2,8.4,0.37751300611872574
32,34,9.2,8.8,0.37444306971387176
33,35,9.4,9.2,0.3757984696561687
34,36,9.8,9.2,0.37338127998992343
35,37,10.2,9.4,0.37488737047350706
36,38,10.2,9.8,0.37223588863340895
37,39,10.4,10.2,0.3735150304539517
38,40,10.8,10.2,0.3713825520941984
39,41,11.2,10.4,0.37277996438132294
40,42,11.2,10.8,0.37045048264336616
41,43,11.4,11.2,0.3716567209483344
42,44,11.8,11.2,0.36974974784718634
43,45,12.2,11.4,0.3710512260398542
44,46,12.2,11.8,0.3689765132048195
45,47,12.4,12.2,0.3701149296010985
46,48,12.8,12.2,0.36839083261606215
47,49,13.2,12.4,0.36960755665867007
48,50,13.2,12.8,0.3677390379059585
